Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatW,QuatX,QuatY,QuatZ
2874,00:00:19.069,IMU1,9.34,1.36,3.12,0.0,0.0,0.0,-18.31,12.81,-26.12,0.28,-0.51,0.28,0.76
1916,00:00:15.326,IMU2,1.34,-7.13,6.51,0.0,0.0,0.0,0.81,1.31,-37.56,0.03,-0.41,0.91,0.1
1916,00:00:15.326,IMU6,1.25,-0.77,9.74,0.0,0.0,0.0,-4.0,-21.69,-38.62,-0.06,0.04,-1.0,0.01
1916,00:00:15.326,IMU4,1.99,0.74,9.55,0.0,0.0,0.0,18.44,7.62,-34.69,0.09,-0.06,0.56,0.82
1916,00:00:15.326,IMU3,-6.42,1.07,-6.87,0.0,0.0,0.0,2.19,-4.38,34.88,-0.77,0.51,0.34,0.15
1917,00:00:15.333,IMU2,1.34,-7.13,6.51,0.0,0.0,0.0,0.81,1.31,-37.56,0.03,-0.41,0.91,0.1
1917,00:00:15.333,IMU6,1.25,-0.77,9.74,0.0,0.0,0.0,-4.0,-21.69,-38.62,-0.06,0.04,-1.0,0.01
1917,00:00:15.333,IMU4,1.99,0.74,9.55,0.0,0.0,0.0,18.44,7.62,-34.69,0.09,-0.06,0.56,0.82
1917,00:00:15.333,IMU3,-6.42,1.07,-6.87,0.0,0.0,0.0,2.19,-4.38,34.88,-0.77,0.51,0.34,0.15
2875,00:00:19.073,IMU7,1.78,3.45,-9.2,0.0,0.0,0.0,22.12,8.69,26.69,0.47,0.86,0.2,0.01
2875,00:00:19.073,IMU5,6.81,-0.44,7.1,0.0,-0.0,-0.0,5.5,-10.94,-36.25,0.31,-0.21,0.79,0.48
2875,00:00:19.073,IMU1,9.34,1.36,3.12,0.0,0.0,0.0,-18.31,12.81,-26.12,0.28,-0.51,0.28,0.76
1918,00:00:15.337,IMU2,1.34,-7.13,6.51,0.0,0.0,0.0,0.81,1.31,-37.56,0.03,-0.41,0.91,0.1
1918,00:00:15.337,IMU6,1.25,-0.77,9.74,0.0,0.0,0.0,-4.0,-21.69,-38.62,-0.06,0.04,-1.0,0.01
1918,00:00:15.337,IMU4,1.99,0.74,9.55,0.0,0.0,0.0,18.44,7.62,-34.69,0.09,-0.06,0.56,0.82
1918,00:00:15.337,IMU3,-6.42,1.07,-6.87,0.0,0.0,0.0,3.0,-5.94,37.44,-0.77,0.51,0.34,0.15
1919,00:00:15.342,IMU2,1.34,-7.13,6.51,0.0,0.0,0.0,0.81,1.31,-37.56,0.03,-0.41,0.91,0.1
1919,00:00:15.342,IMU6,1.21,-0.77,9.74,0.0,0.0,0.0,-4.0,-21.69,-38.62,-0.06,0.04,-1.0,0.01
1919,00:00:15.342,IMU4,1.99,0.74,9.55,0.0,0.0,0.0,18.44,7.62,-34.69,0.09,-0.06,0.56,0.82
1919,00:00:15.342,IMU3,-6.42,1.07,-6.87,0.0,0.0,0.0,3.0,-5.94,37.44,-0.77,0.51,0.34,0.15
2876,00:00:19.079,IMU7,1.78,3.45,-9.2,0.0,0.0,0.0,22.12,8.69,26.69,0.47,0.86,0.2,0.01
2876,00:00:19.079,IMU5,6.81,-0.44,7.1,0.0,-0.0,-0.0,5.5,-10.94,-36.25,0.31,-0.21,0.79,0.48
