Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatW,QuatX,QuatY,QuatZ
6146,00:00:38.194,IMU1,0.34,0.01,9.83,0.0,0.0,0.0,31.38,-16.5,-39.0,0.02,-0.01,0.79,0.61
6146,00:00:38.194,IMU2,0.28,0.14,9.79,0.0,0.0,0.0,27.38,-32.19,-45.69,0.01,-0.0,0.78,0.63
6146,00:00:38.194,IMU3,0.24,0.12,9.77,-0.0,0.0,-0.0,18.5,-18.38,-39.12,0.01,-0.01,0.79,0.61
6146,00:00:38.194,IMU4,0.31,0.06,9.84,0.0,0.0,0.0,4.06,-2.06,-22.0,0.02,-0.01,0.83,0.56
6147,00:00:38.198,IMU1,0.34,0.01,9.83,0.0,0.0,0.0,31.38,-16.5,-39.0,0.02,-0.01,0.79,0.61
6147,00:00:38.198,IMU2,0.28,0.14,9.79,0.0,0.0,0.0,27.38,-32.19,-45.69,0.01,-0.0,0.78,0.63
6147,00:00:38.198,IMU3,0.24,0.12,9.77,-0.0,0.0,-0.01,18.5,-18.38,-39.12,0.01,-0.01,0.79,0.61
6147,00:00:38.198,IMU4,0.31,0.06,9.84,0.0,0.0,0.0,4.06,-2.06,-22.0,0.02,-0.01,0.83,0.56
6148,00:00:38.202,IMU1,0.34,0.01,9.83,0.0,0.0,0.0,31.38,-16.5,-39.0,0.02,-0.01,0.79,0.61
6148,00:00:38.202,IMU2,0.28,0.14,9.79,0.0,0.0,0.0,27.38,-32.19,-45.69,0.01,-0.0,0.78,0.63
6148,00:00:38.202,IMU3,0.24,0.12,9.77,-0.0,0.0,-0.01,18.5,-18.38,-39.12,0.01,-0.01,0.79,0.61
6148,00:00:38.202,IMU4,0.31,0.06,9.84,-0.0,0.0,0.0,4.06,-2.06,-22.0,0.02,-0.01,0.83,0.56
6149,00:00:38.207,IMU1,0.34,0.01,9.83,0.0,0.0,0.0,31.38,-16.5,-39.0,0.02,-0.01,0.79,0.61
6149,00:00:38.207,IMU2,0.28,0.14,9.79,0.0,0.0,0.0,27.38,-32.19,-45.69,0.01,-0.0,0.78,0.63
6149,00:00:38.207,IMU3,0.24,0.12,9.77,0.01,0.0,-0.01,18.5,-18.38,-39.12,0.01,-0.01,0.79,0.61
6149,00:00:38.207,IMU4,0.31,0.06,9.84,-0.0,0.0,0.0,4.06,-2.06,-22.0,0.02,-0.01,0.83,0.56
6150,00:00:38.214,IMU1,0.34,0.01,9.83,0.0,0.0,0.0,31.38,-16.5,-39.0,0.02,-0.01,0.79,0.61
6150,00:00:38.214,IMU2,0.28,0.14,9.79,0.0,0.0,0.0,27.38,-32.19,-45.69,0.01,-0.0,0.78,0.63
6150,00:00:38.214,IMU3,0.24,0.12,9.77,0.01,0.0,-0.01,18.5,-18.38,-39.12,0.01,-0.01,0.79,0.61
6150,00:00:38.214,IMU4,0.31,0.06,9.84,0.0,-0.0,-0.01,4.06,-2.06,-22.0,0.02,-0.01,0.83,0.56
7059,00:00:38.192,IMU5,0.07,0.32,9.79,-0.0,0.0,-0.0,32.75,-14.31,-20.81,0.01,0.01,0.73,0.68
7059,00:00:38.192,IMU6,0.25,0.09,9.78,0.0,0.0,0.0,26.31,-12.69,-16.0,0.01,-0.01,0.77,0.63
7059,00:00:38.192,IMU7,0.57,0.19,9.87,0.0,0.0,0.0,17.94,-10.62,-18.56,0.03,-0.01,0.7,0.72
7060,00:00:38.195,IMU5,0.07,0.32,9.79,-0.0,0.0,-0.0,32.75,-14.31,-20.81,0.01,0.01,0.73,0.68
7060,00:00:38.195,IMU6,0.25,0.09,9.78,0.0,0.0,0.0,26.31,-12.69,-16.0,0.01,-0.01,0.77,0.63
7060,00:00:38.195,IMU7,0.5,0.15,9.79,0.0,0.0,0.0,17.94,-10.62,-18.56,0.03,-0.01,0.7,0.72
7061,00:00:38.201,IMU5,0.07,0.32,9.79,0.0,-0.0,-0.0,32.75,-14.31,-20.81,0.01,0.01,0.73,0.68
7061,00:00:38.201,IMU6,0.25,0.09,9.78,0.0,0.0,0.0,26.31,-12.69,-16.0,0.01,-0.01,0.77,0.63
7061,00:00:38.201,IMU7,0.5,0.15,9.79,0.0,0.0,0.0,18.38,-12.06,-18.69,0.03,-0.01,0.7,0.72
7062,00:00:38.207,IMU5,0.07,0.32,9.79,0.0,-0.0,-0.0,32.75,-14.31,-20.81,0.01,0.01,0.73,0.68
7062,00:00:38.207,IMU6,0.25,0.09,9.78,0.0,0.0,0.0,26.31,-12.69,-16.0,0.01,-0.01,0.77,0.63
7062,00:00:38.207,IMU7,0.5,0.15,9.79,0.0,0.0,0.0,18.38,-12.06,-18.69,0.03,-0.01,0.7,0.72
7063,00:00:38.210,IMU5,0.07,0.32,9.79,0.0,0.0,0.0,32.75,-14.31,-20.81,0.01,0.01,0.73,0.68
7063,00:00:38.210,IMU6,0.25,0.09,9.78,0.0,0.0,0.0,26.31,-12.69,-16.0,0.01,-0.01,0.77,0.63
7063,00:00:38.210,IMU7,0.5,0.15,9.79,0.0,0.0,0.0,18.38,-12.06,-18.69,0.03,-0.01,0.7,0.72
7064,00:00:38.216,IMU5,0.07,0.32,9.79,0.0,0.0,0.0,32.75,-14.31,-20.81,0.01,0.01,0.73,0.68
7064,00:00:38.216,IMU6,0.25,0.09,9.78,0.0,0.0,0.0,26.31,-12.69,-16.0,0.01,-0.01,0.77,0.63
7064,00:00:38.216,IMU7,0.5,0.15,9.79,0.0,0.0,0.0,18.38,-12.06,-18.69,0.03,-0.01,0.7,0.72
7065,00:00:38.219,IMU5,0.07,0.25,9.78,0.0,0.0,0.0,32.75,-14.31,-20.81,0.01,0.01,0.73,0.68
7065,00:00:38.219,IMU6,0.25,0.09,9.78,0.0,0.0,0.0,26.31,-12.69,-16.0,0.01,-0.01,0.77,0.63
7065,00:00:38.219,IMU7,0.5,0.15,9.79,0.0,0.0,0.0,18.38,-12.06,-18.69,0.03,-0.01,0.7,0.72
7066,00:00:38.223,IMU5,0.07,0.25,9.78,0.0,0.0,0.0,32.25,-14.94,-19.06,0.01,0.01,0.73,0.68
7066,00:00:38.223,IMU6,0.25,0.09,9.78,0.0,0.0,0.0,26.31,-12.69,-16.0,0.01,-0.01,0.77,0.63
7066,00:00:38.223,IMU7,0.54,0.15,9.83,0.0,0.0,0.0,18.38,-12.06,-18.69,0.03,-0.01,0.7,0.72
7067,00:00:38.227,IMU5,0.07,0.25,9.78,0.0,0.0,0.0,32.25,-14.94,-19.06,0.01,0.01,0.73,0.68
7067,00:00:38.227,IMU6,0.25,0.09,9.82,0.0,0.0,0.0,26.31,-12.69,-16.0,0.01,-0.01,0.77,0.63
7067,00:00:38.227,IMU7,0.54,0.15,9.83,0.0,0.0,0.0,17.94,-10.69,-19.0,0.03,-0.01,0.7,0.72
7068,00:00:38.231,IMU5,0.07,0.25,9.78,0.0,0.0,0.0,32.25,-14.94,-19.06,0.01,0.01,0.73,0.68
7068,00:00:38.231,IMU6,0.25,0.09,9.82,0.0,0.0,0.0,27.5,-12.06,-16.12,0.01,-0.01,0.77,0.63
7068,00:00:38.231,IMU7,0.54,0.15,9.83,0.0,0.0,0.0,17.94,-10.69,-19.0,0.03,-0.01,0.7,0.72
