Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatX,QuatY,QuatZ,QuatW,DeviceName
28960,00:02:08,IMU6,0.00,0.00,0.00,0.77,0.00,9.50,22.44,-9.69,-16.00,0.03,-0.02,0.81,0.58,Right_Leg
28961,00:02:08,IMU4,-0.00,-0.00,0.01,-0.11,6.45,7.14,35.69,-23.81,-31.81,0.27,0.24,0.61,0.71,Right_Leg
28961,00:02:08,IMU5,0.00,0.00,0.00,0.34,-3.87,9.00,-11.56,-20.62,-22.88,-0.07,0.19,-0.94,0.27,Right_Leg
28961,00:02:08,IMU6,0.00,0.00,0.00,0.77,0.00,9.50,22.81,-10.06,-15.62,0.03,-0.02,0.81,0.58,Right_Leg
28962,00:02:08,IMU4,-0.00,-0.00,0.00,-0.11,6.45,7.14,35.69,-23.81,-31.81,0.27,0.24,0.61,0.71,Right_Leg
28962,00:02:08,IMU5,0.00,0.00,0.00,0.34,-3.87,9.00,-11.56,-20.62,-22.88,-0.07,0.19,-0.94,0.27,Right_Leg
28962,00:02:08,IMU6,0.00,0.00,0.00,0.77,0.00,9.50,22.81,-10.06,-15.62,0.03,-0.02,0.81,0.58,Right_Leg
28966,00:02:08,IMU4,-0.00,0.00,-0.00,-0.15,6.53,7.18,34.62,-24.56,-32.25,0.27,0.24,0.61,0.71,Right_Leg
28966,00:02:08,IMU5,0.00,0.00,0.00,0.30,-3.87,8.96,-11.19,-19.56,-22.50,-0.07,0.19,-0.94,0.27,Right_Leg
28966,00:02:08,IMU6,0.00,0.00,0.00,0.77,0.00,9.50,22.81,-10.06,-15.62,0.03,-0.02,0.81,0.58,Right_Leg
28967,00:02:08,IMU4,-0.00,0.00,-0.00,-0.15,6.53,7.18,34.62,-24.56,-32.25,0.27,0.24,0.61,0.71,Right_Leg
28967,00:02:08,IMU5,0.00,0.00,0.00,0.30,-3.87,8.96,-11.19,-19.56,-22.50,-0.07,0.19,-0.94,0.27,Right_Leg
28967,00:02:08,IMU6,0.00,0.00,0.00,0.77,0.00,9.50,22.81,-10.06,-15.62,0.03,-0.02,0.81,0.58,Right_Leg
28968,00:02:08,IMU4,-0.00,0.00,0.00,-0.15,6.53,7.18,34.62,-24.56,-32.25,0.27,0.24,0.61,0.71,Right_Leg
28968,00:02:08,IMU5,0.00,0.00,0.00,0.30,-3.87,8.96,-11.19,-19.56,-22.50,-0.07,0.19,-0.94,0.27,Right_Leg
28968,00:02:08,IMU6,0.00,0.00,0.00,0.77,0.00,9.50,22.81,-10.06,-15.62,0.03,-0.02,0.81,0.58,Right_Leg
28969,00:02:08,IMU4,-0.00,0.00,0.00,-0.15,6.53,7.18,34.62,-24.56,-32.25,0.27,0.24,0.61,0.71,Right_Leg
28969,00:02:08,IMU5,0.00,0.00,0.00,0.30,-3.87,8.96,-11.19,-19.56,-22.50,-0.07,0.19,-0.94,0.27,Right_Leg
28969,00:02:08,IMU6,0.00,0.00,0.00,0.77,0.00,9.46,22.81,-10.06,-15.62,0.03,-0.02,0.81,0.58,Right_Leg
28970,00:02:08,IMU4,-0.00,0.00,0.00,-0.11,6.49,7.14,34.62,-24.56,-32.25,0.27,0.24,0.61,0.71,Right_Leg
28970,00:02:08,IMU5,0.00,0.00,0.00,0.30,-3.87,8.96,-11.19,-19.56,-22.50,-0.07,0.19,-0.94,0.27,Right_Leg
28970,00:02:08,IMU6,0.00,0.00,0.00,0.77,0.00,9.46,21.31,-10.81,-15.62,0.03,-0.02,0.81,0.58,Right_Leg
28971,00:02:08,IMU4,-0.00,0.00,0.00,-0.11,6.49,7.14,36.06,-23.06,-31.81,0.27,0.24,0.61,0.71,Right_Leg
28971,00:02:08,IMU5,0.00,0.00,0.00,0.30,-3.87,8.96,-11.19,-19.56,-22.50,-0.07,0.19,-0.94,0.27,Right_Leg
28971,00:02:08,IMU6,0.00,0.00,0.00,0.77,0.00,9.46,21.31,-10.81,-15.62,0.03,-0.02,0.81,0.58,Right_Leg
28972,00:02:08,IMU4,0.00,0.00,0.00,-0.11,6.49,7.14,36.06,-23.06,-31.81,0.27,0.24,0.61,0.71,Right_Leg
28972,00:02:08,IMU5,0.00,0.00,0.00,0.30,-3.87,8.96,-11.19,-19.56,-22.50,-0.07,0.19,-0.94,0.27,Right_Leg
28972,00:02:08,IMU6,0.00,0.00,0.00,0.77,0.00,9.46,21.31,-10.81,-15.62,0.03,-0.02,0.81,0.58,Right_Leg
28973,00:02:08,IMU4,0.00,0.00,0.00,-0.11,6.49,7.14,36.06,-23.06,-31.81,0.27,0.24,0.61,0.71,Right_Leg
