Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatX,QuatY,QuatZ,QuatW
37893,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.92,9.58,-12.94,-31.31,-13.62,0.02,0.05,-0.99,0.16
37894,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.46,-1.06,-6.62,-30.31,0.06,-0.07,0.94,0.34
37894,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.91,9.38,-18.19,-5.44,-26.81,-0.09,0.12,-0.89,0.43
37894,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.96,9.58,-12.94,-31.31,-13.62,0.02,0.05,-0.99,0.16
37895,00:02:44,IMU1,0.0,0.01,0.0,1.46,-0.88,9.46,-1.06,-6.62,-30.31,0.06,-0.07,0.94,0.34
37895,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.91,9.38,-17.81,-5.06,-23.69,-0.09,0.12,-0.89,0.43
37895,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.96,9.58,-14.0,-32.38,-13.62,0.02,0.05,-0.99,0.16
37896,00:02:44,IMU1,0.0,0.01,0.0,1.46,-0.88,9.46,-1.06,-6.62,-30.31,0.06,-0.07,0.94,0.34
37896,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.91,9.38,-17.81,-5.06,-23.69,-0.09,0.12,-0.89,0.43
37896,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.96,9.58,-14.0,-32.38,-13.62,0.02,0.05,-0.99,0.16
37897,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.46,-1.06,-6.62,-30.31,0.06,-0.07,0.94,0.34
37897,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.91,9.38,-17.81,-5.06,-23.69,-0.09,0.12,-0.89,0.43
