Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatX,QuatY,QuatZ,QuatW,DeviceName
4291,00:00:20,IMU4,0.00,0.00,0.00,3.30,0.29,9.02,17.12,2.94,-34.31,0.12,-0.13,0.62,0.76,Left_Leg
4291,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.59,8.01,12.69,7.25,-29.81,-0.13,-0.27,0.88,0.37,Left_Leg
4291,00:00:20,IMU6,-0.00,0.01,0.00,0.77,-0.38,9.50,11.94,14.19,-21.94,-0.00,-0.04,0.41,0.91,Left_Leg
4292,00:00:20,IMU4,0.00,0.00,0.00,3.30,0.29,9.02,17.50,3.31,-36.75,0.12,-0.13,0.62,0.76,Left_Leg
4292,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.59,8.01,12.69,7.25,-29.81,-0.13,-0.27,0.88,0.37,Left_Leg
4292,00:00:20,IMU6,-0.00,0.01,0.00,0.77,-0.38,9.50,11.94,14.19,-21.94,-0.00,-0.04,0.41,0.91,Left_Leg
4293,00:00:20,IMU4,0.00,0.00,0.00,3.30,0.29,9.02,17.50,3.31,-36.75,0.12,-0.13,0.62,0.76,Left_Leg
4293,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.59,8.01,12.69,7.25,-29.81,-0.13,-0.27,0.88,0.37,Left_Leg
4293,00:00:20,IMU6,-0.00,0.01,0.00,0.65,-0.38,9.46,11.94,14.19,-21.94,-0.00,-0.04,0.41,0.91,Left_Leg
4294,00:00:20,IMU4,0.00,0.00,0.00,3.30,0.29,9.02,17.50,3.31,-36.75,0.12,-0.13,0.62,0.76,Left_Leg
4294,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.67,8.04,12.69,7.25,-29.81,-0.13,-0.27,0.88,0.37,Left_Leg
4294,00:00:20,IMU6,0.00,-0.00,0.01,0.65,-0.38,9.46,11.94,14.19,-21.94,-0.00,-0.04,0.41,0.91,Left_Leg
4295,00:00:20,IMU4,0.00,0.00,0.00,3.33,0.32,8.94,17.50,3.31,-36.75,0.12,-0.13,0.62,0.76,Left_Leg
4295,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.67,8.04,12.69,7.25,-29.81,-0.13,-0.27,0.88,0.37,Left_Leg
4295,00:00:20,IMU6,0.00,-0.00,0.01,0.65,-0.38,9.46,12.31,13.44,-20.38,-0.00,-0.04,0.41,0.91,Left_Leg
4296,00:00:20,IMU4,0.00,0.00,0.00,3.33,0.32,8.94,17.50,3.31,-36.75,0.12,-0.13,0.62,0.76,Left_Leg
4296,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.67,8.04,12.69,6.12,-29.44,-0.13,-0.27,0.88,0.37,Left_Leg
4296,00:00:20,IMU6,0.00,-0.00,0.01,0.65,-0.38,9.46,12.31,13.44,-20.38,-0.00,-0.04,0.41,0.91,Left_Leg
4297,00:00:20,IMU4,0.00,0.00,0.00,3.33,0.32,8.94,17.12,2.56,-36.31,0.12,-0.13,0.62,0.76,Left_Leg
4297,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.67,8.04,12.69,6.12,-29.44,-0.13,-0.27,0.88,0.37,Left_Leg
4297,00:00:20,IMU6,0.00,0.00,0.00,0.65,-0.38,9.46,12.31,13.44,-20.38,-0.00,-0.04,0.41,0.91,Left_Leg
4298,00:00:20,IMU4,0.00,0.00,0.00,3.33,0.32,8.94,17.12,2.56,-36.31,0.12,-0.13,0.62,0.76,Left_Leg
4298,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.67,8.04,12.69,6.12,-29.44,-0.13,-0.27,0.88,0.37,Left_Leg
4298,00:00:20,IMU6,0.00,0.00,0.00,0.65,-0.38,9.46,12.31,13.44,-20.38,-0.00,-0.04,0.41,0.91,Left_Leg
4299,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.67,8.04,12.69,6.12,-29.44,-0.13,-0.27,0.88,0.37,Left_Leg
4299,00:00:20,IMU6,0.00,0.00,0.00,0.65,-0.38,9.46,12.31,13.44,-20.38,-0.00,-0.04,0.41,0.91,Left_Leg
4300,00:00:20,IMU4,0.00,0.00,0.00,3.33,0.32,8.94,17.12,2.56,-36.31,0.12,-0.13,0.62,0.76,Left_Leg
4300,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.67,8.04,12.69,6.12,-29.44,-0.13,-0.27,0.88,0.37,Left_Leg
4300,00:00:20,IMU6,0.00,0.00,0.00,0.65,-0.38,9.46,12.31,13.44,-20.38,-0.00,-0.04,0.41,0.91,Left_Leg
4301,00:00:20,IMU4,0.00,0.00,0.00,3.33,0.32,8.94,17.12,2.56,-36.31,0.12,-0.13,0.62,0.76,Left_Leg
4301,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.67,8.04,12.69,6.12,-29.44,-0.13,-0.27,0.88,0.37,Left_Leg
4301,00:00:20,IMU6,0.00,0.00,0.00,0.69,-0.38,9.54,12.31,13.44,-20.38,-0.00,-0.04,0.41,0.91,Left_Leg
4302,00:00:20,IMU4,0.00,0.00,0.00,3.33,0.32,8.94,17.12,2.56,-36.31,0.12,-0.13,0.62,0.76,Left_Leg
4302,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.67,8.08,12.69,6.12,-29.44,-0.13,-0.27,0.88,0.37,Left_Leg
4302,00:00:20,IMU6,-0.00,-0.00,0.00,0.69,-0.38,9.54,12.31,13.44,-20.38,-0.00,-0.04,0.41,0.91,Left_Leg
4303,00:00:20,IMU4,0.00,0.00,0.00,3.33,0.29,9.06,17.12,2.56,-36.31,0.12,-0.13,0.62,0.76,Left_Leg
4303,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.67,8.08,12.69,7.25,-28.62,-0.13,-0.27,0.88,0.37,Left_Leg
4303,00:00:20,IMU6,-0.00,-0.00,0.00,0.69,-0.38,9.54,10.44,14.19,-19.19,-0.00,-0.04,0.41,0.91,Left_Leg
4304,00:00:20,IMU4,0.00,0.00,0.00,3.33,0.29,9.06,17.50,2.19,-36.75,0.12,-0.13,0.62,0.76,Left_Leg
4304,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.67,8.08,12.69,7.25,-28.62,-0.13,-0.27,0.88,0.37,Left_Leg
4304,00:00:20,IMU6,-0.00,-0.00,0.00,0.69,-0.38,9.54,10.44,14.19,-19.19,-0.00,-0.04,0.41,0.91,Left_Leg
4305,00:00:20,IMU4,0.00,0.00,0.00,3.33,0.29,9.06,17.50,2.19,-36.75,0.12,-0.13,0.62,0.76,Left_Leg
4305,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.67,8.08,12.69,7.25,-28.62,-0.13,-0.27,0.88,0.37,Left_Leg
4305,00:00:20,IMU6,-0.00,0.00,-0.01,0.69,-0.38,9.54,10.44,14.19,-19.19,-0.00,-0.04,0.41,0.91,Left_Leg
4306,00:00:20,IMU4,0.00,0.00,0.00,3.33,0.29,9.06,17.50,2.19,-36.75,0.12,-0.13,0.62,0.76,Left_Leg
4306,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.67,8.12,12.69,7.25,-28.62,-0.13,-0.27,0.88,0.37,Left_Leg
4306,00:00:20,IMU6,-0.00,0.00,-0.01,0.69,-0.38,9.54,10.44,14.19,-19.19,-0.00,-0.04,0.41,0.91,Left_Leg
4307,00:00:20,IMU4,0.00,0.00,0.00,3.33,0.29,9.06,17.50,2.19,-36.75,0.12,-0.13,0.62,0.76,Left_Leg
4307,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.67,8.12,11.94,7.25,-29.81,-0.13,-0.27,0.88,0.37,Left_Leg
4307,00:00:20,IMU6,-0.00,0.01,-0.01,0.69,-0.38,9.54,10.44,14.19,-19.19,-0.00,-0.04,0.41,0.91,Left_Leg
4308,00:00:20,IMU4,0.00,0.00,0.00,3.33,0.29,9.06,17.50,2.19,-36.75,0.12,-0.13,0.62,0.76,Left_Leg
4308,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.67,8.12,11.94,7.25,-29.81,-0.13,-0.27,0.88,0.37,Left_Leg
4308,00:00:20,IMU6,-0.00,0.01,-0.01,0.69,-0.38,9.54,10.44,14.19,-19.19,-0.00,-0.04,0.41,0.91,Left_Leg
4309,00:00:20,IMU4,0.00,0.00,0.00,3.33,0.29,9.06,17.50,2.19,-36.75,0.12,-0.13,0.62,0.76,Left_Leg
4309,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.67,8.12,11.94,7.25,-29.81,-0.13,-0.27,0.88,0.37,Left_Leg
4309,00:00:20,IMU6,0.00,-0.00,-0.00,0.69,-0.38,9.54,10.44,14.19,-19.19,-0.00,-0.04,0.41,0.91,Left_Leg
4310,00:00:20,IMU4,0.00,0.00,0.00,3.33,0.29,9.06,17.50,2.19,-36.75,0.12,-0.13,0.62,0.76,Left_Leg
4310,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.63,8.08,11.94,7.25,-29.81,-0.13,-0.27,0.88,0.37,Left_Leg
4310,00:00:20,IMU6,0.00,-0.00,-0.00,0.69,-0.38,9.54,10.44,14.19,-19.19,-0.00,-0.04,0.41,0.91,Left_Leg
4311,00:00:20,IMU4,0.00,0.00,0.00,3.33,0.29,9.06,17.50,2.19,-36.75,0.12,-0.13,0.62,0.76,Left_Leg
4311,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.63,8.08,12.31,6.50,-29.00,-0.13,-0.27,0.88,0.37,Left_Leg
4311,00:00:20,IMU6,0.00,-0.00,-0.00,0.65,-0.34,9.54,10.44,14.19,-19.19,-0.00,-0.04,0.41,0.91,Left_Leg
